onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.18	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
7.87	0.62	targetCS+	object	right	right	0.458	correct
14.1	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
16.78	0.6	targetCS-	object	right	right	0.617	correct
20.43	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
31.15	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
33.83	0.6	targetCS-	place	left	left	0.534	correct
38.14	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
40.83	0.6	targetCS+	object	right	right	0.742	correct
45.16	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
47.84	0.6	targetCS-	place	right	right	0.598	correct
54.19	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
56.88	0.6	targetCS+	place	right	right	0.572	correct
60.52	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
63.2	0.6	targetCS-	object	right	right	0.503	correct
68.55	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
71.23	0.6	targetCS-	place	left	left	0.503	correct
76.55	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
79.23	0.6	targetCS-	place	right	right	0.36	correct
85.45	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
88.13	0.6	targetCS+	place	left	left	0.429	correct
91.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
94.34	0.6	targetCS+	object	left	left	0.528	correct
98.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
101.34	0.6	targetCS-	object	right	right	0.459	correct
107.54	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
110.22	0.6	targetCS-	object	left	left	0.362	correct
115.46	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
118.14	0.6	targetCS+	place	right	right	0.417	correct
122.33	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
125.02	0.6	targetCS-	place	left	left	0.466	correct
128.54	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
138.93	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
141.61	0.62	targetCS-	object	left	left	0.463	correct
147.83	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
150.51	0.6	targetCS+	object	left	left	0.43	correct
153.71	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
156.39	0.6	targetCS+	object	right	right	0.541	correct
160.7	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
163.39	0.6	targetCS-	place	right	right	0.342	correct
168.58	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
171.27	0.6	targetCS+	object	right	right	0.351	correct
176.47	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
179.15	0.6	targetCS+	place	left	left	0.398	correct
182.38	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
185.06	0.6	targetCS+	place	right	right	0.34	correct
191.28	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
193.96	0.6	targetCS+	place	left	left	0.358	correct
198.17	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
200.86	0.6	targetCS-	object	right	right	0.465	correct
206.07	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
208.75	0.6	targetCS-	object	left	left	0.425	correct
214.99	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
217.67	0.6	targetCS+	place	left	left	0.503	correct
221.31	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
232.72	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
235.4	0.6	targetCS-	object	left	left	0.419	correct
238.63	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
241.31	0.6	targetCS-	place	right	right	0.442	correct
246.54	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
249.23	0.6	targetCS+	place	right	right	0.409	correct
252.42	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
255.11	0.6	targetCS+	object	left	left	0.409	correct
259.3	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
261.98	0.6	targetCS-	place	left	left	0.392	correct
268.18	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
270.87	0.6	targetCS+	object	left	left	0.435	correct
