onset	duration	trial_type
0.23	1.5	block_cue
3.73	14.44	scrambled_object
28.19	1.5	block_cue
31.69	14.42	object
56.14	1.5	block_cue
59.64	14.54	place
84.2	1.5	block_cue
87.7	14.44	scrambled_object
112.17	1.5	block_cue
115.67	14.42	object
140.12	1.5	block_cue
143.62	14.42	place
168.06	1.5	block_cue
171.57	14.46	scrambled_object
196.04	1.5	block_cue
199.55	14.42	object
223.99	1.5	block_cue
227.49	14.42	place
251.94	1.5	block_cue
255.44	14.47	scrambled_object
279.94	1.5	block_cue
283.44	14.42	object
307.89	1.5	block_cue
311.39	14.42	place
335.83	1.5	block_cue
339.34	14.47	scrambled_object
363.83	1.5	block_cue
367.33	14.42	object
391.78	1.5	block_cue
395.28	14.42	place
419.73	1.5	block_cue
423.23	14.46	scrambled_object
447.71	1.5	block_cue
451.21	14.42	object
475.66	1.5	block_cue
479.16	14.47	place
